학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
월곡중학교,중학교,서울특별시 성북구 장월로 6 (상월곡동.월곡중학교),37.60671251,127.0481681,성북구
창일중학교,중학교,서울특별시 도봉구 노해로66길 60 (창동.창일중학교),37.64860391,127.0468901,도봉구
송파중학교,중학교,서울특별시 송파구 동남로 203 (가락동. 송파중학교),37.49563672,127.1299138,송파구
장평중학교,중학교,서울특별시 동대문구 답십리로72길 158 . 장평중학교 (장안동),37.56628351,127.0705294,동대문구
개봉중학교,중학교,서울특별시 구로구 고척로21나길 68 (개봉동),37.50259502,126.8419589,구로구
금옥중학교,중학교,서울특별시 양천구 신정로 213 . 금옥중학교 (신정동),37.51073114,126.8447953,양천구
사당중학교,중학교,서울특별시 동작구 사당로9가길 58 . 사당중학교 (사당동),37.4875706,126.9689369,동작구
고척중학교,중학교,서울특별시 구로구 중앙로3길 20 . 고척중학교 (고척동),37.50011845,126.861981,구로구
화원중학교,중학교,서울특별시 강서구 강서로17나길 86 (화곡동.화원중학교),37.53669195,126.8424164,강서구
하계중학교,중학교,서울특별시 노원구 노원로 261-8 (하계동),37.64086819,127.0716038,노원구
서울대학교사범대학부설중학교,중학교,서울특별시 성북구 월곡로 36 (종암동),37.59515096,127.0388473,성북구
영파여자중학교,중학교,서울특별시 송파구 올림픽로 565 . 영파여자중학교 (풍납동),37.53312327,127.1204382,송파구
청원중학교,중학교,서울특별시 노원구 한글비석로 506 . 청원중학교 (상계동.청원초/중/고등학교),37.66670084,127.061741,노원구
한천중학교,중학교,서울특별시 노원구 공릉로 265 . 한천중학교 (공릉동),37.63124532,127.0724683,노원구
동작중학교,중학교,서울특별시 동작구 동작대로39가길 83 (동작동),37.49510026,126.9773009,동작구
서문여자중학교,중학교,서울특별시 서초구 동광로12길 84 (방배동),37.48879406,126.9845622,서초구
경원중학교,중학교,서울특별시 서초구 신반포로33길 39 (잠원동.경원중학교),37.51106332,127.0093138,서초구
문창중학교,중학교,서울특별시 동작구 여의대방로22나길 40 (신대방동),37.49580287,126.9217729,동작구
홍은중학교,중학교,서울특별시 서대문구 연희로41길 94 (홍은동),37.59231525,126.9353346,서대문구
국사봉중학교,중학교,서울특별시 동작구 양녕로20길 20 . 국사봉중학교 (상도동),37.49373443,126.9450235,동작구
강남중학교,중학교,서울특별시 동작구 대방동15길 29 (대방동. 강남중학교),37.50246154,126.9224055,동작구
동도중학교,중학교,서울특별시 마포구 백범로 139 동도중학교,37.54646521,126.9468228,마포구
강현중학교,중학교,서울특별시 동작구 상도로13라길 22 . 강현중학교 (상도동),37.50307213,126.9311,동작구
압구정중학교,중학교,서울특별시 강남구 압구정로 225 . 압구정중학교 (압구정동.압구정중학교),37.52983754,127.0329599,강남구
석촌중학교,중학교,서울특별시 송파구 송이로15길 13 (가락동),37.50074981,127.1213104,송파구
동덕여자중학교,중학교,서울특별시 서초구 효령로2길 123-5 . 동덕여자중고등학교 (방배동),37.47602586,126.9915008,서초구
언북중학교,중학교,서울특별시 강남구 도산대로38길 27 (논현동.언북중학교),37.51912039,127.0332284,강남구
성수중학교,중학교,서울특별시 성동구 서울숲길 18 (성수동1가. 성수중.고등학교),37.5482006,127.0383249,성동구
